id,nombre,descripcion,categoria,precio,imagen,codigo,stock
2032,Silicon Liquido Pelikan 100ml,Silicon Liquido Pelikan 100ml,Papeleria,29,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501015215654.jpg,7501015215654,0
2033,Silicon Liquido Pelikan 250ml,Silicon Liquido Pelikan 250ml,Papeleria,58,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501015226360.jpg,7501015226360,1
2034,Silicon Liquido Pelikan 30ml,Silicon Liquido Pelikan 30ml,Papeleria,14,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501015220641.jpg,7501015220641,0
2035,Silicon negro altas temperaturas 85g Truper,Silicon negro altas temperaturas 85g Truper,Ferreteria,45,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206608432.jpg,7501206608432,2
2036,Silicon transparente 280ml 100% silicon Truper ,Silicon transparente 280ml 100% silicon Truper ,Ferreteria,92,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206683699.jpg,7501206683699,0
2037,Silicon Transparente 85g 100% silicon Truper,Silicon Transparente 85g 100% silicon Truper,Ferreteria,45,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206683729.jpg,7501206683729,7
2038,Sobre 6.1X9.5 para tarjeta 50pz Mapasa,Sobre 6.1X9.5 para tarjeta 50pz Mapasa,Papeleria,45,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501454510495.jpg,7501454510495,0
2039,Sobre amarillo de dinero ,Sobre amarillo de dinero ,Papeleria,3,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7506231550893.jpg,7506231550893,44
2040,Sobre Blanco 1.50x2.25,Sobre Blanco 1.50x2.25,Papeleria,1.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501090134253.jpg,7501090134253,9978
2041,Sobre Blanco 104x240,Sobre Blanco 104x240,Papeleria,1.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501090110318.jpg,7501090110318,9999
2042,Sobre Blanco 6.1x9.50,Sobre Blanco 6.1x9.50,Papeleria,36,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501090170237.jpg,7501090170237,0
2043,Sobre Blanco 92x163 Mm,Sobre Blanco 92x163 Mm,Papeleria,1,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501090110554.jpg,7501090110554,9999
